transaction_id,order_id,merchant_id,vertical,amount,currency,payment_method,card_bin,email,phone,ip,device_id,customer_id,account_age_days,attempts,velocity,prior_chargebacks,prior_refunds,merchant_avg_amount,timestamp,amount_deviation,account_age,attempt_count,velocity,chargeback_history,refund_history,amount_magnitude,is_fraud,fraud_type
txn_00000,ord_000000,mz_0007,grocery_delivery,361.16,INR,netbanking,,rahul.menon550@outlook.com,+917612222772,174.142.79.201,1fc47a99d5009efd3b20f2b1d19d94f0,cus_02617,1570,1,0.0,0.0169,0.1377,900,2026-08-30T22:35:06.704231Z,0.14968,0.1,0.0,0.0,0.0676,0.4131,0.16822,0,none
txn_00001,ord_000001,mz_0038,travel_bookings,8419.55,INR,upi,,sara.menon410@zoho.com,+918936152058,151.66.43.74,33b020ef42fb80eceabeba8d6186a81b,cus_05091,1421,1,0.0,0.0431,0.0352,8500,2026-08-26T04:13:17.249692Z,0.00237,0.1,0.0,0.0,0.1724,0.1056,0.58271,0,none
txn_00002,ord_000002,mz_0031,fashion_d2c,1740.22,INR,card,8172041,kavya.nair267@gmail.com,+916666414080,100.228.86.137,5b0b1bd2f076e0b05a367c4d86af8128,cus_04804,1954,1,0.0,0.0025,0.0727,1800,2026-08-29T15:34:18.590426Z,0.0083,0.1,0.0,0.0,0.01,0.2181,0.37508,0,none
txn_00003,ord_000003,mz_0000,electronics,6583.76,INR,card,8160733,neha.reddy958@outlook.com,+919778504146,194.214.133.146,ff60e41e6eb9652c4e7731567c55af9f,cus_05612,513,1,0.0,0.0241,0.0247,6500,2026-08-29T11:02:13.276921Z,0.00322,0.1,0.0,0.0,0.0964,0.0741,0.55031,0,none
txn_00004,ord_000004,mz_0022,membership_subscriptions,2013.64,INR,card,3459719,diya.malhotra155@icloud.com,+916740389124,158.117.53.3,9400ad572f51762b5df79a4647a305bb,cus_02921,933,1,0.0,0.0108,0.104,1200,2026-08-31T03:00:23.195249Z,0.16951,0.1,0.0,0.0,0.0432,0.312,0.39429,0,none
txn_00005,ord_000005,mz_0035,membership_subscriptions,50.0,INR,card,431453,riya.reddy630@fastmail.com,+917808207797,183.60.123.166,fa3167e3d6673e6c46431deafb85980e,cus_04407,1438,1,0.0,0.0331,0.0995,1200,2026-08-28T10:58:37.043121Z,0.23958,0.1,0.0,0.0,0.1324,0.2985,0.0,0,none
txn_00006,ord_000006,mz_0036,electronics,11558.13,INR,card,413750,karan.bose238@yahoo.com,+919484869665,201.191.89.26,9bfb17c62f0a06bf24f9f3c4e7418c28,cus_02531,799,1,0.0,0.0099,0.1385,6500,2026-08-28T16:53:44.329586Z,0.19454,0.1,0.0,0.0,0.0396,0.4155,0.62444,0,none
txn_00007,ord_000007,mz_0037,membership_subscriptions,1346.33,INR,card,3460240,kabir.rao465@protonmail.com,+918344432615,205.26.10.81,55d9e5e57a477e4388fb9baa1c7b1a7f,cus_04542,751,1,0.0,0.0308,0.0611,1200,2026-08-30T20:15:53.755105Z,0.03049,0.1,0.0,0.0,0.1232,0.1833,0.3413,0,none
txn_00008,ord_000008,mz_0038,travel_bookings,4342.36,INR,upi,,vivaan.joshi404@outlook.com,+916077621102,195.154.59.105,616ddb7742a9e4bc5f863464a6485c91,cus_04022,1528,6,0.0,0.0091,0.0165,8500,2026-08-27T17:04:34.193308Z,0.12228,0.1,0.71429,0.0,0.0364,0.0495,0.4955,0,none
txn_00009,ord_000009,mz_0033,home_decor,3546.78,INR,upi,,karan.menon401@outlook.com,+918224456651,192.239.136.8,ab5bc7a726a8fc7bcaefd8a1656cd14d,cus_00207,1980,1,0.0,0.0318,0.0299,2600,2026-08-26T07:10:09.711207Z,0.09104,0.1,0.0,0.0,0.1272,0.0897,0.46884,0,none
txn_00010,ord_000010,mz_0033,home_decor,4050.2,INR,card,6044314,rohan.sharma359@icloud.com,+917269048261,142.202.122.215,406eec82f01be60f535903d6fa8aa8ba,cus_05492,1719,1,0.0,0.0133,0.1137,2600,2026-08-28T06:49:59.459691Z,0.13944,0.1,0.0,0.0,0.0532,0.3411,0.48632,0,none
txn_00011,ord_000011,mz_0007,grocery_delivery,1277.28,INR,upi,,isha.sharma390@icloud.com,+916865347608,210.253.217.245,a141944360110feb608c1065f92846ac,cus_05133,1227,1,0.0,0.0277,0.1236,900,2026-08-26T22:32:42.918668Z,0.1048,0.1,0.0,0.0,0.1108,0.3708,0.33436,0,none
